"","pmid","from","to"
"11621","27221729","5510460828863833540","-3586416418257805002"
"11622","27221729","4632477083328856853","-3586416418257805002"
"11623","27221729","5829712284417423553","-3586416418257805002"
"11624","27221729","-6669128456047834903","-3586416418257805002"
"11625","27221729","-290649908450582724","7210229895925052753"
"11626","27221729","5510460828863833540","7210229895925052753"
"11627","27221729","4632477083328856853","7210229895925052753"
"11628","27221729","5829712284417423553","7210229895925052753"
"11629","27221729","-6669128456047834903","7210229895925052753"
"11630","27221729","-290649908450582724","-3468580716674627425"
"11631","27221729","5510460828863833540","-3468580716674627425"
"11632","27221729","4632477083328856853","-3468580716674627425"
"11633","27221729","5829712284417423553","-3468580716674627425"
"11634","27221729","-6669128456047834903","-3468580716674627425"
"11635","27221729","-290649908450582724","3045573151349207762"
"11636","27221729","5510460828863833540","3045573151349207762"
"11637","27221729","5829712284417423553","4109099796969262719"
"11638","27221729","5510460828863833540","4109099796969262719"
"11639","27221729","5829712284417423553","-6841284586218123596"
"11640","27221729","5510460828863833540","-6841284586218123596"
"11641","27221729","4632477083328856853","-6841284586218123596"
"11642","27221729","-6669128456047834903","-6841284586218123596"
"11643","27221729","-290649908450582724","-1589015125670148196"
"11644","27221729","5510460828863833540","-1589015125670148196"
"11829","27248327","-2531875720891133112","3054548101838517883"
"12380","27323910","-8356303151323322921","-4382916669220838228"
"12381","27323910","-133014628300163222","-4382916669220838228"
"12382","27323910","-8356303151323322921","8519529802599800317"
"12383","27323910","-133014628300163222","8519529802599800317"
"12384","27323910","-8356303151323322921","-2691526144478427460"
"12385","27323910","-133014628300163222","-2691526144478427460"
"12409","27331411","1332107701671413820","1147702936170891397"
"12410","27331411","-2299936700995862033","8027871522178729439"
"12411","27331411","7850878548593074030","2720712733863489373"
"12620","27363283","3528821281990145526","7551748334296989841"
"12621","27363283","-8073017189073541138","7551748334296989841"
"12622","27363283","-8073017189073541138","-5886790088920785825"
"12623","27363283","-8073017189073541138","-4185875612495137623"
"12624","27363283","-8073017189073541138","-3918115998020098253"
"12625","27363283","-8073017189073541138","-2005291754510660353"
"12626","27363283","-8073017189073541138","-1463900116577583459"
"12627","27363283","-8073017189073541138","6677346897122091172"
"12628","27363283","-8073017189073541138","6465380633725784934"
"12629","27363283","-8073017189073541138","2000098051535259096"
"12630","27363283","-8073017189073541138","-8092986474166342776"
"12631","27363283","-8073017189073541138","8613697998226934419"
"12632","27363283","-8073017189073541138","-5621810857597100181"
"12633","27363283","-8073017189073541138","1503503774237393763"
"12634","27363283","-8073017189073541138","8386220746148700385"
"12635","27363283","-8073017189073541138","3211045700945726360"
"12690","27374090","-2056814564509388763","2228062921760909342"
"12691","27374090","-2056814564509388763","-4583780310743199411"
"12831","27385100","1685393985678457048","-6546688715351858796"
"12832","27385100","-9053976342694625635","-6546688715351858796"
"12849","27391441","4496191920649739347","-5161335018007062456"
"13010","27416912","7287342894640839607","-6666785625249577507"
"13011","27416912","7690085462478253680","-6666785625249577507"
"13012","27416912","-7463808890903380676","-6666785625249577507"
"13013","27416985","3934887264873752867","-227496649088444148"
"13014","27416985","-1014147375867388215","2042633807518141742"
"13015","27416985","-1051670365943237645","-2630793830686981687"
"13016","27416985","-1051670365943237645","-2630793830686981687"
"13017","27416985","1404933902319492121","-2630793830686981687"
"13018","27416985","-3212785207850349084","-2630793830686981687"
"13019","27416985","-1051670365943237645","-1135098093351933725"
"13020","27416985","-2531875720891133112","-1135098093351933725"
"13021","27416985","8596115707704972239","-1135098093351933725"
"13022","27416985","8596115707704972239","-1135098093351933725"
